permit number,lat,long,neighborhood
PAA232002,40.4639144388444,-80.0451834158628,Marshall-Shadeland
PAA220604,40.4425805203367,-79.9617920984077,West Oakland
PAA230027,40.4422470230786,-79.9609286975283,West Oakland
PAA224562,40.4701311113412,-80.0262036725574,Marshall-Shadeland
PAA220599,40.4443102647694,-79.9531966404474,North Oakland
PAA224583,40.4132941612927,-79.9451505004388,Hazelwood
PAA232010,40.4442129846549,-79.94339909741,Squirrel Hill North
PAA232011,40.4546642584153,-79.9395872787866,Shadyside
PAA232006,40.4428679141945,-79.9962944234681,Central Business District
PAA232118,40.4377527428062,-79.9958806222119,Central Business District
PAA232020,40.4360439740714,-79.9854587006851,Bluff
PAA232019,40.483602079867,-80.0488610192284,Brighton Heights
PAA232021,40.4442129846549,-79.94339909741,Squirrel Hill North
PAA224565,40.4679467696952,-79.9008351744672,Lincoln-Lemington-Belmar
PAA232047,40.4302937979388,-79.9848246379356,South Side Flats
PAA232113,40.4621317678598,-79.9462630434165,Bloomfield
PAA232116,40.4384190708353,-79.9609006805401,Central Oakland
PAA232012,40.457069446526,-80.0036975361617,Central Northside
PAA230518,40.4405888985809,-80.0007814675326,Central Business District
DEM230127,40.4421199923377,-80.036297027879,Elliott
PAA234501,40.4585719815463,-79.8988312320389,Homewood North
PAA230243,40.437826212702,-79.9936526271794,Bluff
PAA232001,40.4382227596723,-79.9722482304526,West Oakland
PAA230248,40.4408772146024,-80.0046972771664,Central Business District
PAA234508,40.4607254206094,-79.9941231011247,Spring Hill-City View
PAA234558,40.4583898910049,-79.8770699796014,East Hills
PAA230111,40.482489405321,-80.0207968505848,Perry North
PAA230341,40.4546642584153,-79.9395872787866,Shadyside
PAA234496,40.4437340612145,-79.9983784272227,Central Business District
PAA234609,40.4659418364059,-79.9509866251479,Bloomfield
PAA234557,40.4695026594972,-79.8945912386402,Lincoln-Lemington-Belmar
PAA230261,40.4404181801422,-79.9590300798034,Central Oakland
PAA234513,40.4606063658286,-79.8917430779636,Homewood North
PAA230427,40.4434885741112,-79.9558135817291,North Oakland
DEM230130,40.4553822130751,-80.0623706927562,Sheraden
PAA230595,40.4295856308263,-79.988892596623,South Side Flats
PAA230488,40.4621317678598,-79.9462630434165,Bloomfield
UND230013,40.4206965203744,-80.0691284251103,East Carnegie
UND230076,40.4542744039924,-80.0090332973919,Allegheny Center
PAA230573,40.4443102647694,-79.9531966404474,North Oakland
PAA230503,40.4290821429022,-79.9220741645267,Squirrel Hill South
PAA230369,40.4408772146024,-80.0046972771664,Central Business District
PAA234473,40.469839484649,-80.0072699798524,Perry South
PAA230246,40.4295856308263,-79.988892596623,South Side Flats
PAA230264,40.4258328082863,-79.9428291965635,Greenfield
PAA234370,40.4605873654715,-79.8947229388984,Homewood North
PAA234249,40.4699666457928,-79.9593381145277,Central Lawrenceville
PAA230271,40.4461464881484,-79.9492136063896,North Oakland
PAA234486,40.4392876242974,-79.9598565104814,Central Oakland
PAA230580,40.4422741604836,-79.9945318961147,Central Business District
UND230059,40.445934557419,-79.9230392950852,Squirrel Hill North
PAA230598,40.4425000143128,-79.9967186520548,Central Business District
PAA230175,40.4369746546783,-79.960823450374,South Oakland
PAA234371,40.4602508322879,-79.8930740863236,Homewood North
PAA234529,40.4543703257099,-80.032365671469,Chateau
PAA230552,40.4403592216973,-79.9614238732971,West Oakland
PAA234521,40.4634986929399,-80.0121304097972,Perry South
PAA234555,40.4583524127414,-79.8767341324203,East Hills
DEM230129,40.4477219963473,-80.0814041673721,Fairywood
PAA234568,40.4564850784463,-80.0207320610933,Manchester
PAA230436,40.4421355489082,-79.9984736562728,Central Business District
PAA230428,40.4450837285919,-79.9578774838838,North Oakland
PAA230402,40.4422470230786,-79.9609286975283,West Oakland
PAA230554,40.4429276553854,-79.9980072836289,Central Business District
PAA232421,40.4474493929597,-79.959348899007,North Oakland
DEM230125,40.4606317923522,-79.9234801512207,East Liberty
PAA234525,40.4193456765988,-79.9975218116009,Beltzhoover
PAA230381,40.4416655349877,-79.951055167305,Central Oakland
PAA230398,40.457069446526,-80.0036975361617,Central Northside
DEM220295,40.4743576224501,-80.028681981257,Marshall-Shadeland
PAA230591,40.4360439740714,-79.9854587006851,Bluff
PAA234540,40.4435800812919,-79.9212387168658,Squirrel Hill North
PAA230451,40.4546642584153,-79.9395872787866,Shadyside
PAA234474,40.472107307612,-80.008408747565,Perry South
PAA230403,40.4418819209077,-79.9992483643313,Central Business District
PAA234373,40.457550460978,-79.8940300070661,Homewood North
PAA230415,40.4391571794465,-79.9973257173654,Central Business District
