neighborhood,count
Shadyside,76
East Liberty,68
Squirrel Hill South,62
Bloomfield,58
North Shore,53
South Side Flats,51
Strip District,42
Carrick,38
Central Oakland,34
Lower Lawrenceville,29
Central Lawrenceville,29
Middle Hill,29
Homewood South,28
Bluff,28
East Allegheny,26
Mount Washington,26
Brighton Heights,24
Squirrel Hill North,22
Crawford-Roberts,21
Larimer,20
Hazelwood,18
Marshall-Shadeland,17
Brookline,17
Sheraden,16
Troy Hill,15
Upper Lawrenceville,15
Allegheny West,15
Perry North,15
North Oakland,14
Greenfield,14
Polish Hill,13
Point Breeze,12
Elliott,12
Friendship,12
Perry South,12
Highland Park,12
Central Northside,10
Regent Square,10
Allentown,9
West End,9
West Oakland,8
South Side Slopes,8
Crafton Heights,8
Beechview,8
Morningside,8
South Oakland,7
Upper Hill,7
Central Business District,7
Lincoln Place,7
Knoxville,7
Garfield,7
Allegheny Center,7
Lincoln-Lemington-Belmar,6
Manchester,6
Westwood,5
Chateau,5
Terrace Village,5
Spring Hill-City View,5
California-Kirkbride,4
Homewood North,4
Arlington,3
Fineview,3
Spring Garden,3
Beltzhoover,3
Point Breeze North,2
Stanton Heights,2
Duquesne Heights,2
Banksville,2
Homewood West,2
East Hills,2
Bedford Dwellings,1
Oakwood,1
Swisshelm Park,1
St. Clair,1
East Carnegie,1
South Shore,1
Mt. Oliver,1
Northview Heights,1
Windgap,1
