container_id,neighborhood
1.0,Central Northside
2.0,Marshall-Shadeland
3.0,Central Northside
4.0,Allegheny Center
5.0,Central Northside
6.0,California-Kirkbride
7.0,Marshall-Shadeland
8.0,California-Kirkbride
9.0,Allegheny Center
10.0,Manchester
11.0,Perry North
12.0,Marshall-Shadeland
13.0,Perry North
14.0,Marshall-Shadeland
15.0,Perry South
16.0,Fineview
17.0,Manchester
18.0,Perry South
19.0,Allegheny West
20.0,Perry North
21.0,Perry North
22.0,Perry North
23.0,Manchester
24.0,Central Northside
25.0,Troy Hill
26.0,Marshall-Shadeland
27.0,East Allegheny
28.0,Allegheny Center
29.0,Perry North
30.0,Brighton Heights
31.0,Spring Hill-City View
32.0,Manchester
33.0,Marshall-Shadeland
34.0,East Allegheny
35.0,Brighton Heights
36.0,Fineview
37.0,Central Northside
38.0,Central Northside
39.0,Marshall-Shadeland
40.0,Central Northside
41.0,East Allegheny
42.0,Allegheny Center
43.0,Marshall-Shadeland
44.0,Perry South
45.0,Brighton Heights
46.0,Spring Garden
47.0,East Allegheny
48.0,Troy Hill
50.0,Troy Hill
51.0,Brighton Heights
52.0,Perry South
53.0,Troy Hill
54.0,Troy Hill
55.0,Marshall-Shadeland
56.0,Brighton Heights
57.0,Troy Hill
58.0,Perry North
59.0,East Allegheny
60.0,East Allegheny
62.0,Spring Garden
63.0,Brighton Heights
64.0,East Allegheny
65.0,Marshall-Shadeland
66.0,Marshall-Shadeland
67.0,Brighton Heights
68.0,Brighton Heights
69.0,Spring Hill-City View
70.0,Marshall-Shadeland
71.0,Allegheny West
73.0,East Allegheny
74.0,Spring Garden
75.0,East Allegheny
76.0,Perry South
77.0,Central Northside
78.0,Marshall-Shadeland
80.0,Central Northside
81.0,East Allegheny
82.0,Troy Hill
83.0,Allegheny Center
85.0,Fineview
86.0,Manchester
87.0,Marshall-Shadeland
88.0,Brighton Heights
89.0,Northview Heights
90.0,Marshall-Shadeland
91.0,Marshall-Shadeland
92.0,Chateau
93.0,Marshall-Shadeland
94.0,East Allegheny
95.0,Troy Hill
96.0,Troy Hill
97.0,Troy Hill
98.0,Brighton Heights
99.0,Troy Hill
100.0,Allegheny West
101.0,Allegheny West
102.0,Allegheny West
103.0,Allegheny West
105.0,East Allegheny
107.0,East Allegheny
108.0,Bluff
109.0,Bluff
110.0,Bluff
112.0,East Allegheny
115.0,East Allegheny
116.0,Brighton Heights
117.0,Brighton Heights
118.0,Allegheny Center
119.0,East Allegheny
121.0,Garfield
122.0,Arlington
123.0,Greenfield
125.0,East Liberty
126.0,Morningside
127.0,Mt. Oliver
128.0,Carrick
129.0,East Liberty
130.0,Greenfield
132.0,Greenfield
133.0,East Liberty
134.0,East Liberty
136.0,Beechview
137.0,Point Breeze
138.0,Central Business District
139.0,East Liberty
141.0,Bluff
143.0,Beechview
145.0,Shadyside
146.0,Bloomfield
147.0,Brookline
148.0,Garfield
149.0,Shadyside
150.0,Shadyside
151.0,Shadyside
152.0,Brookline
153.0,South Oakland
156.0,Brighton Heights
157.0,Shadyside
158.0,Highland Park
159.0,Highland Park
161.0,Central Business District
163.0,Brighton Heights
164.0,Bluff
166.0,South Side Flats
167.0,Perry South
168.0,Brighton Heights
169.0,Allentown
170.0,South Side Flats
171.0,South Side Slopes
172.0,South Side Flats
173.0,South Side Flats
174.0,South Side Flats
175.0,South Side Flats
176.0,West End
177.0,Brookline
178.0,Knoxville
179.0,Carrick
180.0,Carrick
181.0,South Side Flats
182.0,Carrick
183.0,Carrick
184.0,Carrick
186.0,Brookline
188.0,Carrick
190.0,Carrick
191.0,Carrick
192.0,South Side Flats
193.0,Brookline
194.0,South Side Flats
195.0,Central Business District
196.0,Arlington
197.0,South Side Flats
200.0,South Side Flats
201.0,Brookline
202.0,Carrick
203.0,Carrick
204.0,Carrick
206.0,South Side Slopes
207.0,South Side Flats
208.0,South Side Flats
209.0,Brookline
210.0,Brookline
211.0,South Side Slopes
212.0,South Side Flats
213.0,Beltzhoover
214.0,South Side Flats
215.0,Allentown
216.0,South Side Flats
217.0,South Side Flats
218.0,South Side Flats
219.0,Knoxville
220.0,Carrick
221.0,Carrick
222.0,South Side Slopes
223.0,Carrick
224.0,Allentown
225.0,Perry South
226.0,South Side Flats
227.0,Knoxville
